tokens per iteration will be: 491,520
Resuming training from out2
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: WARNING W&B installed but not logged in.  Run `wandb login` or set the WANDB_API_KEY env variable.
iter 22000: loss 3.1614, time 49525.75ms, mfu 9.51%
iter 22040: loss 2.9507, time 13121.85ms, mfu 9.59%
iter 22080: loss 3.1478, time 13118.60ms, mfu 9.65%
iter 22120: loss 3.0554, time 13113.67ms, mfu 9.72%
iter 22160: loss 2.9467, time 13109.75ms, mfu 9.77%
iter 22200: loss 2.9518, time 13115.99ms, mfu 9.82%
iter 22240: loss 3.3033, time 13118.66ms, mfu 9.87%
iter 22280: loss 3.0136, time 13117.10ms, mfu 9.91%
iter 22320: loss 3.1174, time 13112.96ms, mfu 9.94%
iter 22360: loss 3.1221, time 13114.84ms, mfu 9.97%
iter 22400: loss 2.9116, time 13114.86ms, mfu 10.00%
iter 22440: loss 3.3218, time 13114.18ms, mfu 10.03%
iter 22480: loss 3.0831, time 13109.99ms, mfu 10.05%
iter 22520: loss 3.1476, time 13114.97ms, mfu 10.08%
iter 22560: loss 2.9648, time 13112.51ms, mfu 10.10%
iter 22600: loss 3.5298, time 13111.26ms, mfu 10.11%
iter 22640: loss 3.0988, time 13113.48ms, mfu 10.13%
iter 22680: loss 2.9387, time 13115.57ms, mfu 10.14%
iter 22720: loss 3.0629, time 13113.67ms, mfu 10.15%
iter 22760: loss 3.3726, time 13113.46ms, mfu 10.17%
iter 22800: loss 3.0180, time 13115.72ms, mfu 10.18%
iter 22840: loss 2.9063, time 13112.40ms, mfu 10.19%
iter 22880: loss 2.6113, time 13111.51ms, mfu 10.19%
iter 22920: loss 2.9792, time 13111.68ms, mfu 10.20%
iter 22960: loss 2.7555, time 13110.71ms, mfu 10.21%
iter 23000: loss 3.1796, time 13109.28ms, mfu 10.21%
iter 23040: loss 3.0585, time 13109.22ms, mfu 10.22%
iter 23080: loss 2.9370, time 13114.86ms, mfu 10.23%
iter 23120: loss 3.2038, time 13114.73ms, mfu 10.23%
iter 23160: loss 3.1444, time 13109.41ms, mfu 10.23%
iter 23200: loss 3.3027, time 13109.97ms, mfu 10.24%
iter 23240: loss 3.0718, time 13110.69ms, mfu 10.24%
iter 23280: loss 2.9773, time 13107.04ms, mfu 10.24%
iter 23320: loss 3.0522, time 13111.45ms, mfu 10.25%
iter 23360: loss 2.8153, time 13109.02ms, mfu 10.25%
iter 23400: loss 2.9446, time 13111.20ms, mfu 10.25%
iter 23440: loss 3.0441, time 13108.31ms, mfu 10.25%
iter 23480: loss 3.3272, time 13110.53ms, mfu 10.26%
iter 23520: loss 3.2675, time 13108.38ms, mfu 10.26%
iter 23560: loss 3.0638, time 13109.63ms, mfu 10.26%
iter 23600: loss 3.0996, time 13112.19ms, mfu 10.26%
iter 23640: loss 3.1175, time 13110.58ms, mfu 10.26%
iter 23680: loss 3.0412, time 13110.09ms, mfu 10.26%
iter 23720: loss 3.0232, time 13115.36ms, mfu 10.26%
iter 23760: loss 2.9854, time 13111.18ms, mfu 10.26%
iter 23800: loss 3.2181, time 13113.37ms, mfu 10.26%
iter 23840: loss 2.8549, time 13107.82ms, mfu 10.26%
iter 23880: loss 3.0843, time 13107.28ms, mfu 10.27%
iter 23920: loss 3.2632, time 13108.54ms, mfu 10.27%
iter 23960: loss 3.2773, time 13106.15ms, mfu 10.27%
step 24000: train loss 3.1053, val loss 3.0998
saving checkpoint to out2
iter 24000: loss 3.1613, time 49363.86ms, mfu 9.51%
iter 24040: loss 2.9292, time 13115.59ms, mfu 9.59%
iter 24080: loss 3.1530, time 13113.02ms, mfu 9.66%
iter 24120: loss 3.0658, time 13108.85ms, mfu 9.72%
iter 24160: loss 3.3044, time 13112.57ms, mfu 9.77%
iter 24200: loss 2.8286, time 13109.96ms, mfu 9.82%
iter 24240: loss 2.8637, time 13112.67ms, mfu 9.87%
iter 24280: loss 3.1090, time 13112.11ms, mfu 9.91%
iter 24320: loss 2.7241, time 13120.61ms, mfu 9.94%
iter 24360: loss 3.0677, time 13110.92ms, mfu 9.98%
iter 24400: loss 2.8771, time 13112.76ms, mfu 10.01%
iter 24440: loss 3.2073, time 13107.68ms, mfu 10.03%
iter 24480: loss 2.9352, time 13112.20ms, mfu 10.06%
iter 24520: loss 3.3204, time 13114.20ms, mfu 10.08%
iter 24560: loss 3.4415, time 13113.81ms, mfu 10.10%
iter 24600: loss 3.3169, time 13111.17ms, mfu 10.11%
iter 24640: loss 3.1019, time 13110.19ms, mfu 10.13%
iter 24680: loss 3.1209, time 13109.99ms, mfu 10.14%
iter 24720: loss 3.1433, time 13110.21ms, mfu 10.16%
iter 24760: loss 3.0984, time 13109.47ms, mfu 10.17%
iter 24800: loss 3.1345, time 13114.72ms, mfu 10.18%
iter 24840: loss 3.2010, time 13112.04ms, mfu 10.19%
iter 24880: loss 3.1758, time 13110.96ms, mfu 10.20%
iter 24920: loss 3.1603, time 13109.89ms, mfu 10.20%
iter 24960: loss 3.1964, time 13112.39ms, mfu 10.21%
iter 25000: loss 2.9967, time 13118.34ms, mfu 10.22%
iter 25040: loss 2.7792, time 13113.83ms, mfu 10.22%
iter 25080: loss 3.3112, time 13116.34ms, mfu 10.23%
iter 25120: loss 3.0928, time 13114.18ms, mfu 10.23%
iter 25160: loss 2.9995, time 13110.01ms, mfu 10.23%
iter 25200: loss 3.2696, time 13112.95ms, mfu 10.24%
iter 25240: loss 3.1913, time 13113.11ms, mfu 10.24%
iter 25280: loss 3.1341, time 13111.22ms, mfu 10.24%
iter 25320: loss 3.2998, time 13113.74ms, mfu 10.25%
iter 25360: loss 2.9298, time 13113.60ms, mfu 10.25%
iter 25400: loss 3.1491, time 13112.15ms, mfu 10.25%
iter 25440: loss 2.8443, time 13119.63ms, mfu 10.25%
iter 25480: loss 3.3309, time 13114.93ms, mfu 10.25%
iter 25520: loss 2.8470, time 13117.57ms, mfu 10.25%
iter 25560: loss 3.0934, time 13115.14ms, mfu 10.26%
iter 25600: loss 3.0771, time 13116.80ms, mfu 10.26%
iter 25640: loss 3.1335, time 13114.89ms, mfu 10.26%
iter 25680: loss 2.9617, time 13118.16ms, mfu 10.26%
iter 25720: loss 3.1192, time 13115.41ms, mfu 10.26%
iter 25760: loss 3.1292, time 13118.30ms, mfu 10.26%
iter 25800: loss 3.0831, time 13120.69ms, mfu 10.26%
iter 25840: loss 3.1850, time 13117.46ms, mfu 10.26%
iter 25880: loss 2.8194, time 13117.74ms, mfu 10.26%
iter 25920: loss 3.1516, time 13113.68ms, mfu 10.26%
iter 25960: loss 3.6572, time 13118.33ms, mfu 10.26%
step 26000: train loss 3.0639, val loss 3.0964
saving checkpoint to out2
iter 26000: loss 3.0120, time 49769.45ms, mfu 9.51%
iter 26040: loss 3.4934, time 13124.54ms, mfu 9.58%
iter 26080: loss 3.0248, time 13115.45ms, mfu 9.65%
iter 26120: loss 3.0492, time 13119.96ms, mfu 9.71%
iter 26160: loss 2.9128, time 13121.06ms, mfu 9.77%
iter 26200: loss 3.2515, time 13120.79ms, mfu 9.82%
iter 26240: loss 3.0590, time 13118.97ms, mfu 9.86%
iter 26280: loss 2.9755, time 13118.02ms, mfu 9.90%
iter 26320: loss 3.1105, time 13118.08ms, mfu 9.94%
iter 26360: loss 3.1853, time 13117.28ms, mfu 9.97%
iter 26400: loss 3.1555, time 13119.45ms, mfu 10.00%
iter 26440: loss 3.1331, time 13115.31ms, mfu 10.03%
iter 26480: loss 3.1879, time 13117.43ms, mfu 10.05%
iter 26520: loss 3.1205, time 13114.68ms, mfu 10.07%
iter 26560: loss 3.1396, time 13117.24ms, mfu 10.09%
iter 26600: loss 2.8354, time 13117.15ms, mfu 10.11%
iter 26640: loss 3.0813, time 13121.41ms, mfu 10.12%
iter 26680: loss 3.3349, time 13118.06ms, mfu 10.14%
iter 26720: loss 2.9715, time 13119.83ms, mfu 10.15%
iter 26760: loss 2.9337, time 13119.43ms, mfu 10.16%
iter 26800: loss 3.2300, time 13120.01ms, mfu 10.17%
iter 26840: loss 3.1310, time 13133.38ms, mfu 10.18%
iter 26880: loss 2.9200, time 13115.32ms, mfu 10.19%
iter 26920: loss 3.2296, time 13116.82ms, mfu 10.20%
iter 26960: loss 3.3753, time 13123.99ms, mfu 10.20%
iter 27000: loss 2.8411, time 13121.61ms, mfu 10.21%
iter 27040: loss 3.1335, time 13122.22ms, mfu 10.21%
iter 27080: loss 3.1865, time 13120.77ms, mfu 10.22%
iter 27120: loss 2.8611, time 13118.57ms, mfu 10.22%
iter 27160: loss 2.9429, time 13122.33ms, mfu 10.23%
iter 27200: loss 3.1523, time 13122.44ms, mfu 10.23%
iter 27240: loss 3.1405, time 13117.72ms, mfu 10.23%
iter 27280: loss 3.3337, time 13130.04ms, mfu 10.24%
iter 27320: loss 3.0850, time 13120.45ms, mfu 10.24%
iter 27360: loss 3.0302, time 13119.93ms, mfu 10.24%
iter 27400: loss 2.8364, time 13120.75ms, mfu 10.24%
iter 27440: loss 3.0895, time 13123.42ms, mfu 10.25%
iter 27480: loss 2.9781, time 13119.43ms, mfu 10.25%
iter 27520: loss 2.9914, time 13118.84ms, mfu 10.25%
iter 27560: loss 3.0415, time 13120.98ms, mfu 10.25%
iter 27600: loss 3.1792, time 13117.93ms, mfu 10.25%
iter 27640: loss 2.9537, time 13117.92ms, mfu 10.25%
iter 27680: loss 3.0016, time 13121.21ms, mfu 10.25%
iter 27720: loss 2.9863, time 13120.72ms, mfu 10.26%
iter 27760: loss 3.2326, time 13120.06ms, mfu 10.26%
iter 27800: loss 3.3383, time 13122.99ms, mfu 10.26%
iter 27840: loss 3.0571, time 13121.93ms, mfu 10.26%
iter 27880: loss 3.3552, time 13116.49ms, mfu 10.26%
iter 27920: loss 2.9910, time 13119.39ms, mfu 10.26%
iter 27960: loss 2.8842, time 13121.12ms, mfu 10.26%
step 28000: train loss 3.0911, val loss 3.0833
saving checkpoint to out2
iter 28000: loss 3.1383, time 49963.88ms, mfu 9.50%
iter 28040: loss 3.1319, time 13136.36ms, mfu 9.58%
iter 28080: loss 3.1131, time 13131.01ms, mfu 9.65%
iter 28120: loss 3.0927, time 13133.81ms, mfu 9.71%
iter 28160: loss 2.9401, time 13122.01ms, mfu 9.76%
iter 28200: loss 3.3474, time 13122.28ms, mfu 9.81%
iter 28240: loss nan, time 12693.49ms, mfu 9.89%
iter 28280: loss nan, time 12694.74ms, mfu 9.96%
iter 28320: loss nan, time 12693.53ms, mfu 10.03%
iter 28360: loss nan, time 12694.96ms, mfu 10.09%
iter 28400: loss nan, time 12694.69ms, mfu 10.14%
iter 28440: loss nan, time 12693.52ms, mfu 10.18%
iter 28480: loss nan, time 12693.17ms, mfu 10.23%
iter 28520: loss nan, time 12693.59ms, mfu 10.27%
iter 28560: loss nan, time 12693.85ms, mfu 10.30%
iter 28600: loss nan, time 12693.89ms, mfu 10.33%
iter 28640: loss nan, time 12694.17ms, mfu 10.36%
iter 28680: loss nan, time 12693.45ms, mfu 10.38%
iter 28720: loss nan, time 12693.90ms, mfu 10.41%
iter 28760: loss nan, time 12694.91ms, mfu 10.43%
iter 28800: loss nan, time 12693.91ms, mfu 10.44%
iter 28840: loss nan, time 12696.27ms, mfu 10.46%
iter 28880: loss nan, time 12694.95ms, mfu 10.48%
iter 28920: loss nan, time 12625.73ms, mfu 10.49%
iter 28960: loss nan, time 12625.41ms, mfu 10.51%
iter 29000: loss nan, time 12624.62ms, mfu 10.53%
iter 29040: loss nan, time 12626.62ms, mfu 10.54%
iter 29080: loss nan, time 12624.17ms, mfu 10.55%
iter 29120: loss nan, time 12625.55ms, mfu 10.56%
iter 29160: loss nan, time 12625.94ms, mfu 10.57%
iter 29200: loss nan, time 12625.96ms, mfu 10.58%
iter 29240: loss nan, time 12626.14ms, mfu 10.59%
iter 29280: loss nan, time 12625.74ms, mfu 10.60%
iter 29320: loss nan, time 12626.11ms, mfu 10.61%
iter 29360: loss nan, time 12626.50ms, mfu 10.61%
iter 29400: loss nan, time 12625.39ms, mfu 10.62%
iter 29440: loss nan, time 12625.33ms, mfu 10.62%
iter 29480: loss nan, time 12625.43ms, mfu 10.63%
iter 29520: loss nan, time 12624.42ms, mfu 10.63%
iter 29560: loss nan, time 12624.36ms, mfu 10.63%
iter 29600: loss nan, time 12625.07ms, mfu 10.64%
iter 29640: loss nan, time 12626.55ms, mfu 10.64%
iter 29680: loss nan, time 12693.21ms, mfu 10.64%
iter 29720: loss nan, time 12692.69ms, mfu 10.63%
iter 29760: loss nan, time 12625.58ms, mfu 10.64%
iter 29800: loss nan, time 12694.49ms, mfu 10.63%
iter 29840: loss nan, time 12670.86ms, mfu 10.63%
iter 29880: loss nan, time 12694.24ms, mfu 10.63%
iter 29920: loss nan, time 12693.11ms, mfu 10.63%
iter 29960: loss nan, time 12694.40ms, mfu 10.63%
step 30000: train loss nan, val loss nan
saving checkpoint to out2
iter 30000: loss nan, time 47247.09ms, mfu 9.85%
iter 30040: loss nan, time 12693.31ms, mfu 9.92%
iter 30080: loss nan, time 12692.72ms, mfu 9.99%
iter 30120: loss nan, time 12692.13ms, mfu 10.06%
iter 30160: loss nan, time 12693.11ms, mfu 10.11%
iter 30200: loss nan, time 12695.66ms, mfu 10.16%
iter 30240: loss nan, time 12694.09ms, mfu 10.20%
iter 30280: loss nan, time 12692.54ms, mfu 10.25%
iter 30320: loss nan, time 12693.47ms, mfu 10.28%
iter 30360: loss nan, time 12692.28ms, mfu 10.31%
iter 30400: loss nan, time 12693.78ms, mfu 10.34%
iter 30440: loss nan, time 12692.97ms, mfu 10.37%
iter 30480: loss nan, time 12693.36ms, mfu 10.39%
iter 30520: loss nan, time 12692.97ms, mfu 10.42%
iter 30560: loss nan, time 12693.51ms, mfu 10.43%
iter 30600: loss nan, time 12694.01ms, mfu 10.45%
iter 30640: loss nan, time 12693.15ms, mfu 10.47%
